WHO Region,Paises,Confirmados,Muertes,Recuperados,Activos,CFR_media,CFR_mediana,Recovery_media,Active_media,Days_media,CFR_region,Recovery_region,Active_region
Africa,41,721416,12196,439380,269840,2.269994500992825,1.6875,55.15527804878049,42.574712195121954,55.8780487804878,1.6906,60.9052,37.4042
Americas,24,8837989,342681,4467914,4027394,3.3075363300618847,2.922905639305686,56.3862875,40.30617083333333,42.875,3.8774,50.5535,45.5691
Eastern Mediterranean,22,1490744,38339,1201400,251005,3.563603180640965,1.8213865408728211,66.59271818181819,29.84367727272727,40.59090909090909,2.5718,80.5906,16.8376
Europe,52,3299295,211139,1993513,1094643,4.432685760698548,3.248827821644455,66.6702423076923,28.89707692307692,36.63461538461539,6.3995,60.4224,33.1781
South-East Asia,7,1834824,41343,1156555,636926,1.6062505296682628,1.310642059896121,70.96287142857143,27.43087142857143,21.142857142857142,2.2532,63.0336,34.7132
Western Pacific,8,290770,8239,205410,77121,2.1253514165267275,1.7626017389561603,78.7250625,19.1495625,6.625,2.8335,70.6435,26.523
